PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V5,30137-07,50,842.0
EQ3 EXW US V5,30137-07,60,892.0
EQ3 EXW US V5,30137-07,70,942.0
EQ3 EXW US V5,30137-07,F,1541.7875
EQ3 EXW US V5,30137-07,I,1691.7875
EQ3 EXW US V5,30137-07,41,nan
EQ3 EXW US V5,30137-07,42,nan
EQ3 EXW US V5,30137-08,10,692.0
EQ3 EXW US V5,30137-08,20,732.0
EQ3 EXW US V5,30137-08,30,762.0
EQ3 EXW US V5,30137-08,31,762.0
EQ3 EXW US V5,30137-08,40,792.0
EQ3 EXW US V5,30137-08,50,842.0
EQ3 EXW US V5,30137-08,60,892.0
EQ3 EXW US V5,30137-08,70,942.0
EQ3 EXW US V5,30137-08,F,1541.7875
EQ3 EXW US V5,30137-08,I,1691.7875
EQ3 EXW US V5,30137-08,41,nan
EQ3 EXW US V5,30137-08,42,nan
EQ3 EXW US V5,30137-09,10,383.0
EQ3 EXW US V5,30137-09,20,402.0
EQ3 EXW US V5,30137-09,30,417.0
EQ3 EXW US V5,30137-09,31,417.0
EQ3 EXW US V5,30137-09,40,452.0
EQ3 EXW US V5,30137-09,50,487.0
EQ3 EXW US V5,30137-09,60,522.0
EQ3 EXW US V5,30137-09,70,557.0
EQ3 EXW US V5,30137-09,F,976.81
EQ3 EXW US V5,30137-09,I,1081.81
EQ3 EXW US V5,30137-09,41,nan
EQ3 EXW US V5,30137-09,42,nan
EQ3 EXW US V5,30137-10,10,327.0
EQ3 EXW US V5,30137-10,20,346.0
EQ3 EXW US V5,30137-10,30,361.0
EQ3 EXW US V5,30137-10,31,361.0
EQ3 EXW US V5,30137-10,40,381.0
EQ3 EXW US V5,30137-10,50,401.0
EQ3 EXW US V5,30137-10,60,421.0
EQ3 EXW US V5,30137-10,70,441.0
EQ3 EXW US V5,30137-10,F,665.5025
EQ3 EXW US V5,30137-10,I,725.5025
EQ3 EXW US V5,30137-10,41,nan
EQ3 EXW US V5,30137-10,42,nan
EQ3 EXW US V5,30137-11,10,377.0
EQ3 EXW US V5,30137-11,20,399.0
EQ3 EXW US V5,30137-11,30,414.0
EQ3 EXW US V5,30137-11,31,414.0
EQ3 EXW US V5,30137-11,40,449.0
EQ3 EXW US V5,30137-11,50,484.0
EQ3 EXW US V5,30137-11,60,519.0
EQ3 EXW US V5,30137-11,70,554.0
EQ3 EXW US V5,30137-11,F,973.66
EQ3 EXW US V5,30137-11,I,1078.66
EQ3 EXW US V5,30137-11,41,nan
EQ3 EXW US V5,30137-11,42,nan
EQ3 EXW US V5,30137-12,10,377.0
EQ3 EXW US V5,30137-12,20,399.0
EQ3 EXW US V5,30137-12,30,414.0
EQ3 EXW US V5,30137-12,31,414.0
EQ3 EXW US V5,30137-12,40,449.0
EQ3 EXW US V5,30137-12,50,484.0
EQ3 EXW US V5,30137-12,60,519.0
EQ3 EXW US V5,30137-12,70,554.0
EQ3 EXW US V5,30137-12,F,973.66
EQ3 EXW US V5,30137-12,I,1078.66
EQ3 EXW US V5,30137-12,41,nan
EQ3 EXW US V5,30137-12,42,nan
EQ3 EXW US V5,30137-14,10,624.0
EQ3 EXW US V5,30137-14,20,644.0
EQ3 EXW US V5,30137-14,30,659.0
EQ3 EXW US V5,30137-14,31,659.0
EQ3 EXW US V5,30137-14,40,674.0
EQ3 EXW US V5,30137-14,50,694.0
EQ3 EXW US V5,30137-14,60,714.0
EQ3 EXW US V5,30137-14,70,734.0
EQ3 EXW US V5,30137-14,F,1303.6475
EQ3 EXW US V5,30137-14,I,1423.6475
EQ3 EXW US V5,30137-14,41,nan
EQ3 EXW US V5,30137-14,42,nan
EQ3 EXW US V5,30137-15,10,623.0
EQ3 EXW US V5,30137-15,20,663.0
EQ3 EXW US V5,30137-15,30,693.0
EQ3 EXW US V5,30137-15,31,693.0
EQ3 EXW US V5,30137-15,40,723.0
EQ3 EXW US V5,30137-15,50,773.0
EQ3 EXW US V5,30137-15,60,823.0
EQ3 EXW US V5,30137-15,70,873.0
EQ3 EXW US V5,30137-15,F,1472.6675
EQ3 EXW US V5,30137-15,I,1622.6675
EQ3 EXW US V5,30137-15,41,nan
EQ3 EXW US V5,30137-15,42,nan
EQ3 EXW US V5,30137-16,10,623.0
EQ3 EXW US V5,30137-16,20,663.0
EQ3 EXW US V5,30137-16,30,693.0
EQ3 EXW US V5,30137-16,31,693.0
EQ3 EXW US V5,30137-16,40,723.0
EQ3 EXW US V5,30137-16,50,773.0
EQ3 EXW US V5,30137-16,60,823.0
EQ3 EXW US V5,30137-16,70,873.0
EQ3 EXW US V5,30137-16,F,1472.6675
EQ3 EXW US V5,30137-16,I,1622.6675
EQ3 EXW US V5,30137-16,41,nan
EQ3 EXW US V5,30137-16,42,nan
EQ3 EXW US V5,30137-19,10,620.0
EQ3 EXW US V5,30137-19,20,660.0
EQ3 EXW US V5,30137-19,30,690.0
EQ3 EXW US V5,30137-19,31,690.0
EQ3 EXW US V5,30137-19,40,720.0
EQ3 EXW US V5,30137-19,50,770.0
EQ3 EXW US V5,30137-19,60,820.0
EQ3 EXW US V5,30137-19,70,870.0
